ward_id,name,area_m2,area_km2,perimeter_m,perimeter_km,compactness,centroid_lon,centroid_lat,road_length_km,road_density_km_per_km2
1,GOTA,33813862.1266587,33.8138621266587,31307.157739035705,31.307157739035706,0.4335282061233222,72.51919555761938,23.09971197039403,133.024,3.934
2,CHANDLODIA,13710938.041925436,13.710938041925436,21964.941752091065,21.964941752091065,0.35712225934740915,72.55123890328248,23.10918603994828,52.755,3.848
3,CHANDKHEDA,11918371.95541942,11.918371955419419,16838.060322625104,16.838060322625104,0.5282538572781127,72.58979061538041,23.115427849222527,76.413,6.411
4,SABARMATI,9792912.072402483,9.792912072402483,18819.83794607334,18.819837946073342,0.3474481152593638,72.59609124099364,23.092121346736143,39.681,4.052
5,RANIP,7559320.483775771,7.559320483775771,13314.242400754652,13.314242400754653,0.5358703192322087,72.57050260646734,23.087556763257435,30.847,4.081
6,NEW WADAJ,3175981.8076215335,3.1759818076215334,10524.915174466209,10.524915174466209,0.3602887167629465,72.56481374904452,23.070604972520137,30.349,9.556
7,GHATLODIA,3005043.1055339007,3.005043105533901,9159.511523182082,9.159511523182083,0.4501071827257997,72.54540333932368,23.06967942140324,24.266,8.075
8,THALTEJ,28026438.08763393,28.02643808763393,37885.76398293063,37.88576398293063,0.2453723777915698,72.49103912191383,23.062384906457176,135.195,4.824
9,NARANPURA,4913160.5660701655,4.913160566070165,10141.025021150903,10.141025021150902,0.6003535913648791,72.55203546712148,23.05746891934111,39.827,8.106
10,S.P.STADIUM,5250848.069217207,5.250848069217207,13864.427598211536,13.864427598211536,0.34326966648796303,72.57473019652777,23.0580015068194,53.107,10.114
11,SARDARNAGAR,8721460.305151574,8.721460305151574,24365.096303967784,24.365096303967785,0.18461322453231077,72.64343148826538,23.0893931302648,34.473,3.953
12,NARODA,13855661.271909455,13.855661271909455,23035.419000337097,23.035419000337097,0.328129207219024,72.67130930176737,23.080259924894033,67.33,4.859
13,SAIJPUR BOGHA,3109787.4264739235,3.1097874264739236,9891.353471056624,9.891353471056624,0.3994193712500769,72.63913109519102,23.060732588521613,22.027,7.083
14,KUBERNAGR,2236050.4493541718,2.2360504493541717,10478.449454865633,10.478449454865633,0.2559159865245745,72.63452611478644,23.069455181822647,4.83,2.16
